,date,time,distance
120327,2025-03-02,09:41:56.964499,700
120328,2025-03-02,09:41:56.985542,700
120329,2025-03-02,09:41:57.006580,700
120330,2025-03-02,09:41:57.027623,700
120331,2025-03-02,09:41:57.048659,700
120332,2025-03-02,09:41:57.069700,700
120333,2025-03-02,09:41:57.090738,700
120334,2025-03-02,09:41:57.111807,700
120335,2025-03-02,09:41:57.132910,700
120336,2025-03-02,09:41:57.153992,700
120337,2025-03-02,09:41:57.175063,700
120338,2025-03-02,09:41:57.196127,700
120339,2025-03-02,09:41:57.217176,700
120340,2025-03-02,09:41:57.238224,700
120341,2025-03-02,09:41:57.259264,700
120342,2025-03-02,09:41:57.280315,700
120343,2025-03-02,09:41:57.301364,700
120344,2025-03-02,09:41:57.322410,700
120345,2025-03-02,09:41:57.343454,700
120346,2025-03-02,09:41:57.364495,700
120347,2025-03-02,09:41:57.385551,700
120348,2025-03-02,09:41:57.406597,700
120349,2025-03-02,09:41:57.427660,700
120350,2025-03-02,09:41:57.448750,700
120351,2025-03-02,09:41:57.469832,700
120352,2025-03-02,09:41:57.490902,700
120353,2025-03-02,09:41:57.511974,700
120354,2025-03-02,09:41:57.533040,700
120355,2025-03-02,09:41:57.554095,700
120356,2025-03-02,09:41:57.575154,700
120357,2025-03-02,09:41:57.596202,700
120358,2025-03-02,09:41:57.617249,700
120359,2025-03-02,09:41:57.638290,700
120360,2025-03-02,09:41:57.659343,700
120361,2025-03-02,09:41:57.680386,700
120362,2025-03-02,09:41:57.701443,700
120363,2025-03-02,09:41:57.722487,574
120364,2025-03-02,09:41:57.743527,550
120365,2025-03-02,09:41:57.764573,553
120366,2025-03-02,09:41:57.785612,575
120367,2025-03-02,09:41:57.806964,567
120368,2025-03-02,09:41:57.828028,561
120369,2025-03-02,09:41:57.849121,700
120370,2025-03-02,09:41:57.870177,700
120371,2025-03-02,09:41:57.891230,700
120372,2025-03-02,09:41:57.912301,700
120373,2025-03-02,09:41:57.933358,700
120374,2025-03-02,09:41:57.954421,700
120375,2025-03-02,09:41:57.975485,700
120376,2025-03-02,09:41:57.996546,700
120377,2025-03-02,09:41:58.017594,700
120378,2025-03-02,09:41:58.038654,700
120379,2025-03-02,09:41:58.059697,700
120380,2025-03-02,09:41:58.080753,700
120381,2025-03-02,09:41:58.101797,700
120382,2025-03-02,09:41:58.122846,700
120383,2025-03-02,09:41:58.144551,700
120384,2025-03-02,09:41:58.165626,700
120385,2025-03-02,09:41:58.186785,700
120386,2025-03-02,09:41:58.207833,700
120387,2025-03-02,09:41:58.228932,700
120388,2025-03-02,09:41:58.249983,700
120389,2025-03-02,09:41:58.271060,700
120390,2025-03-02,09:41:58.292108,700
120391,2025-03-02,09:41:58.313163,700
120392,2025-03-02,09:41:58.334199,700
120393,2025-03-02,09:41:58.355257,700
120394,2025-03-02,09:41:58.376299,700
120395,2025-03-02,09:41:58.397363,700
120396,2025-03-02,09:41:58.418402,700
120397,2025-03-02,09:41:58.439459,700
120398,2025-03-02,09:41:58.460507,700
120399,2025-03-02,09:41:58.481549,571
120400,2025-03-02,09:41:58.502603,563
120401,2025-03-02,09:41:58.523645,558
120402,2025-03-02,09:41:58.544685,273
120403,2025-03-02,09:41:58.565725,229
120404,2025-03-02,09:41:58.586770,221
120405,2025-03-02,09:41:58.607808,214
120406,2025-03-02,09:41:58.628846,212
120407,2025-03-02,09:41:58.649885,213
120408,2025-03-02,09:41:58.670922,213
120409,2025-03-02,09:41:58.691963,213
120410,2025-03-02,09:41:58.713002,212
120411,2025-03-02,09:41:58.734041,211
120412,2025-03-02,09:41:58.755083,211
120413,2025-03-02,09:41:58.776128,211
120414,2025-03-02,09:41:58.797169,211
120415,2025-03-02,09:41:58.818210,210
120416,2025-03-02,09:41:58.839250,211
120417,2025-03-02,09:41:58.860372,213
120418,2025-03-02,09:41:58.881432,214
120419,2025-03-02,09:41:58.903138,212
120420,2025-03-02,09:41:58.924205,215
120421,2025-03-02,09:41:58.945364,224
120422,2025-03-02,09:41:58.966410,556
120423,2025-03-02,09:41:58.987454,555
120424,2025-03-02,09:41:59.008512,560
120425,2025-03-02,09:41:59.029558,700
120426,2025-03-02,09:41:59.050610,556
120427,2025-03-02,09:41:59.072313,700
120428,2025-03-02,09:41:59.093381,553
120429,2025-03-02,09:41:59.114519,550
120430,2025-03-02,09:41:59.135574,551
120431,2025-03-02,09:41:59.156636,548
120432,2025-03-02,09:41:59.177692,545
120433,2025-03-02,09:41:59.198778,544
120434,2025-03-02,09:41:59.219842,542
120435,2025-03-02,09:41:59.240922,545
120436,2025-03-02,09:41:59.262678,549
120437,2025-03-02,09:41:59.283771,543
120438,2025-03-02,09:41:59.304930,549
120439,2025-03-02,09:41:59.325982,545
120440,2025-03-02,09:41:59.347070,542
120441,2025-03-02,09:41:59.368820,541
120442,2025-03-02,09:41:59.389891,561
120443,2025-03-02,09:41:59.410936,700
120444,2025-03-02,09:41:59.431977,700
120445,2025-03-02,09:41:59.453023,576
120446,2025-03-02,09:41:59.474065,700
120447,2025-03-02,09:41:59.495112,700
120448,2025-03-02,09:41:59.516164,700
120449,2025-03-02,09:41:59.537233,700
120450,2025-03-02,09:41:59.558287,700
120451,2025-03-02,09:41:59.579343,552
120452,2025-03-02,09:41:59.600400,700
120453,2025-03-02,09:41:59.621468,700
120454,2025-03-02,09:41:59.642514,700
120455,2025-03-02,09:41:59.663559,700
120456,2025-03-02,09:41:59.684615,700
120457,2025-03-02,09:41:59.705661,700
120458,2025-03-02,09:41:59.726703,544
120459,2025-03-02,09:41:59.747742,700
120460,2025-03-02,09:41:59.768782,700
120461,2025-03-02,09:41:59.789822,531
120462,2025-03-02,09:41:59.810860,527
120463,2025-03-02,09:41:59.831901,536
120464,2025-03-02,09:41:59.852939,530
120465,2025-03-02,09:41:59.873977,532
120466,2025-03-02,09:41:59.895018,533
120467,2025-03-02,09:41:59.916061,534
120468,2025-03-02,09:41:59.937101,540
