,date,time,distance
584896,2025-03-02,13:19:36.809161,700
584897,2025-03-02,13:19:36.830206,700
584898,2025-03-02,13:19:36.851239,700
584899,2025-03-02,13:19:36.872275,700
584900,2025-03-02,13:19:36.893312,700
584901,2025-03-02,13:19:36.914347,700
584902,2025-03-02,13:19:36.935382,700
584903,2025-03-02,13:19:36.956426,700
584904,2025-03-02,13:19:36.977460,700
584905,2025-03-02,13:19:36.998495,700
584906,2025-03-02,13:19:37.019525,700
584907,2025-03-02,13:19:37.040568,700
584908,2025-03-02,13:19:37.061600,700
584909,2025-03-02,13:19:37.082634,700
584910,2025-03-02,13:19:37.103680,700
584911,2025-03-02,13:19:37.124717,700
584912,2025-03-02,13:19:37.145754,700
584913,2025-03-02,13:19:37.166794,700
584914,2025-03-02,13:19:37.187828,700
584915,2025-03-02,13:19:37.208864,700
584916,2025-03-02,13:19:37.229898,700
584917,2025-03-02,13:19:37.250932,700
584918,2025-03-02,13:19:37.271973,700
584919,2025-03-02,13:19:37.293011,700
584920,2025-03-02,13:19:37.314049,700
584921,2025-03-02,13:19:37.335102,700
584922,2025-03-02,13:19:37.356142,700
584923,2025-03-02,13:19:37.377179,700
584924,2025-03-02,13:19:37.398230,700
584925,2025-03-02,13:19:37.419265,700
584926,2025-03-02,13:19:37.440303,700
584927,2025-03-02,13:19:37.461337,214
584928,2025-03-02,13:19:37.482370,204
584929,2025-03-02,13:19:37.503410,199
584930,2025-03-02,13:19:37.524443,197
584931,2025-03-02,13:19:37.545806,197
584932,2025-03-02,13:19:37.566872,198
584933,2025-03-02,13:19:37.587919,200
584934,2025-03-02,13:19:37.608976,202
584935,2025-03-02,13:19:37.630017,203
584936,2025-03-02,13:19:37.651055,206
584937,2025-03-02,13:19:37.672092,207
584938,2025-03-02,13:19:37.693137,209
584939,2025-03-02,13:19:37.714402,210
584940,2025-03-02,13:19:37.735437,211
584941,2025-03-02,13:19:37.756473,214
584942,2025-03-02,13:19:37.777517,215
584943,2025-03-02,13:19:37.798566,216
584944,2025-03-02,13:19:37.819621,218
584945,2025-03-02,13:19:37.840706,218
584946,2025-03-02,13:19:37.861774,216
584947,2025-03-02,13:19:37.882842,219
584948,2025-03-02,13:19:37.903909,218
584949,2025-03-02,13:19:37.924956,219
584950,2025-03-02,13:19:37.946001,221
