,date,time,distance
492874,2025-03-02,12:47:19.537010,700
492875,2025-03-02,12:47:19.558047,700
492876,2025-03-02,12:47:19.579082,700
492877,2025-03-02,12:47:19.600118,700
492878,2025-03-02,12:47:19.621154,700
492879,2025-03-02,12:47:19.642203,700
492880,2025-03-02,12:47:19.663243,700
492881,2025-03-02,12:47:19.684281,700
492882,2025-03-02,12:47:19.705318,700
492883,2025-03-02,12:47:19.726357,700
492884,2025-03-02,12:47:19.747394,700
492885,2025-03-02,12:47:19.768432,700
492886,2025-03-02,12:47:19.789471,700
492887,2025-03-02,12:47:19.810511,700
492888,2025-03-02,12:47:19.831550,700
492889,2025-03-02,12:47:19.852592,700
492890,2025-03-02,12:47:19.873802,700
492891,2025-03-02,12:47:19.894842,700
492892,2025-03-02,12:47:19.915897,700
492893,2025-03-02,12:47:19.936932,700
492894,2025-03-02,12:47:19.957967,700
492895,2025-03-02,12:47:19.979003,700
492896,2025-03-02,12:47:20.000042,700
492897,2025-03-02,12:47:20.021081,700
492898,2025-03-02,12:47:20.042130,700
492899,2025-03-02,12:47:20.063169,700
492900,2025-03-02,12:47:20.084214,700
492901,2025-03-02,12:47:20.105256,700
492902,2025-03-02,12:47:20.126293,700
492903,2025-03-02,12:47:20.147352,700
492904,2025-03-02,12:47:20.168432,700
492905,2025-03-02,12:47:20.189475,700
492906,2025-03-02,12:47:20.210514,700
492907,2025-03-02,12:47:20.231554,700
492908,2025-03-02,12:47:20.252591,700
492909,2025-03-02,12:47:20.273630,700
492910,2025-03-02,12:47:20.294671,700
492911,2025-03-02,12:47:20.315710,700
492912,2025-03-02,12:47:20.336766,700
492913,2025-03-02,12:47:20.357846,700
492914,2025-03-02,12:47:20.378893,700
492915,2025-03-02,12:47:20.399990,700
492916,2025-03-02,12:47:20.421036,700
492917,2025-03-02,12:47:20.442085,700
492918,2025-03-02,12:47:20.463130,700
492919,2025-03-02,12:47:20.484175,700
492920,2025-03-02,12:47:20.505220,700
492921,2025-03-02,12:47:20.526272,190
492922,2025-03-02,12:47:20.547310,196
492923,2025-03-02,12:47:20.568347,195
492924,2025-03-02,12:47:20.589384,187
492925,2025-03-02,12:47:20.610420,185
492926,2025-03-02,12:47:20.631456,182
492927,2025-03-02,12:47:20.652492,183
492928,2025-03-02,12:47:20.673528,183
492929,2025-03-02,12:47:20.694579,177
492930,2025-03-02,12:47:20.715618,175
492931,2025-03-02,12:47:20.736663,176
492932,2025-03-02,12:47:20.757705,174
492933,2025-03-02,12:47:20.778741,173
492934,2025-03-02,12:47:20.799777,170
492935,2025-03-02,12:47:20.820815,170
492936,2025-03-02,12:47:20.841852,168
492937,2025-03-02,12:47:20.862888,169
492938,2025-03-02,12:47:20.883927,170
492939,2025-03-02,12:47:20.905093,167
492940,2025-03-02,12:47:20.926132,167
492941,2025-03-02,12:47:20.947172,168
492942,2025-03-02,12:47:20.968209,169
492943,2025-03-02,12:47:20.989244,169
492944,2025-03-02,12:47:21.010287,167
492945,2025-03-02,12:47:21.031325,169
492946,2025-03-02,12:47:21.052363,169
492947,2025-03-02,12:47:21.073402,169
492948,2025-03-02,12:47:21.094443,169
492949,2025-03-02,12:47:21.115483,169
492950,2025-03-02,12:47:21.136521,170
492951,2025-03-02,12:47:21.157560,168
492952,2025-03-02,12:47:21.178599,168
492953,2025-03-02,12:47:21.199640,167
492954,2025-03-02,12:47:21.220681,167
492955,2025-03-02,12:47:21.241721,167
492956,2025-03-02,12:47:21.262759,169
492957,2025-03-02,12:47:21.283798,169
492958,2025-03-02,12:47:21.304836,174
492959,2025-03-02,12:47:21.325875,179
492960,2025-03-02,12:47:21.346912,700
492961,2025-03-02,12:47:21.367950,700
492962,2025-03-02,12:47:21.388995,700
492963,2025-03-02,12:47:21.410031,700
492964,2025-03-02,12:47:21.431065,700
492965,2025-03-02,12:47:21.452101,700
492966,2025-03-02,12:47:21.473138,700
492967,2025-03-02,12:47:21.494175,700
492968,2025-03-02,12:47:21.515214,700
492969,2025-03-02,12:47:21.536256,700
492970,2025-03-02,12:47:21.557296,700
492971,2025-03-02,12:47:21.578333,700
492972,2025-03-02,12:47:21.599370,700
492973,2025-03-02,12:47:21.620408,700
492974,2025-03-02,12:47:21.641447,700
492975,2025-03-02,12:47:21.662485,700
492976,2025-03-02,12:47:21.683524,700
492977,2025-03-02,12:47:21.704559,700
492978,2025-03-02,12:47:21.725596,700
492979,2025-03-02,12:47:21.746634,700
492980,2025-03-02,12:47:21.767671,700
492981,2025-03-02,12:47:21.788707,700
492982,2025-03-02,12:47:21.809745,700
492983,2025-03-02,12:47:21.830785,700
492984,2025-03-02,12:47:21.851847,700
492985,2025-03-02,12:47:21.872936,700
492986,2025-03-02,12:47:21.894012,700
492987,2025-03-02,12:47:21.915059,700
492988,2025-03-02,12:47:21.936502,700
492989,2025-03-02,12:47:21.957544,700
492990,2025-03-02,12:47:21.978595,700
492991,2025-03-02,12:47:21.999647,700
492992,2025-03-02,12:47:22.020692,700
492993,2025-03-02,12:47:22.041752,700
492994,2025-03-02,12:47:22.062794,700
492995,2025-03-02,12:47:22.083834,700
492996,2025-03-02,12:47:22.104872,700
492997,2025-03-02,12:47:22.125910,700
492998,2025-03-02,12:47:22.146947,700
492999,2025-03-02,12:47:22.167983,700
493000,2025-03-02,12:47:22.189019,700
493001,2025-03-02,12:47:22.210057,700
493002,2025-03-02,12:47:22.231099,196
493003,2025-03-02,12:47:22.252136,700
493004,2025-03-02,12:47:22.273175,700
493005,2025-03-02,12:47:22.294226,700
493006,2025-03-02,12:47:22.315262,700
493007,2025-03-02,12:47:22.336301,700
493008,2025-03-02,12:47:22.357340,700
493009,2025-03-02,12:47:22.378462,700
493010,2025-03-02,12:47:22.399498,700
493011,2025-03-02,12:47:22.420532,700
493012,2025-03-02,12:47:22.441571,700
493013,2025-03-02,12:47:22.462607,700
493014,2025-03-02,12:47:22.483643,700
493015,2025-03-02,12:47:22.504679,700
