,date,time,distance
390318,2025-03-02,11:16:40.209932,700
390319,2025-03-02,11:16:40.230972,700
390320,2025-03-02,11:16:40.252012,700
390321,2025-03-02,11:16:40.273050,700
390322,2025-03-02,11:16:40.294086,700
390323,2025-03-02,11:16:40.315127,700
390324,2025-03-02,11:16:40.336164,700
390325,2025-03-02,11:16:40.357207,700
390326,2025-03-02,11:16:40.378246,700
390327,2025-03-02,11:16:40.399293,700
390328,2025-03-02,11:16:40.420333,700
390329,2025-03-02,11:16:40.441374,700
390330,2025-03-02,11:16:40.462413,700
390331,2025-03-02,11:16:40.483455,700
390332,2025-03-02,11:16:40.504496,700
390333,2025-03-02,11:16:40.525538,700
390334,2025-03-02,11:16:40.546579,700
390335,2025-03-02,11:16:40.567631,700
390336,2025-03-02,11:16:40.588672,700
390337,2025-03-02,11:16:40.609710,700
390338,2025-03-02,11:16:40.630748,700
390339,2025-03-02,11:16:40.651788,700
390340,2025-03-02,11:16:40.672827,700
390341,2025-03-02,11:16:40.693866,700
390342,2025-03-02,11:16:40.714907,700
390343,2025-03-02,11:16:40.735943,700
390344,2025-03-02,11:16:40.756979,700
390345,2025-03-02,11:16:40.778016,700
390346,2025-03-02,11:16:40.799053,700
390347,2025-03-02,11:16:40.820099,700
390348,2025-03-02,11:16:40.841140,700
390349,2025-03-02,11:16:40.862181,700
390350,2025-03-02,11:16:40.883342,700
390351,2025-03-02,11:16:40.904498,700
390352,2025-03-02,11:16:40.925549,700
390353,2025-03-02,11:16:40.946565,700
390354,2025-03-02,11:16:40.967561,700
390355,2025-03-02,11:16:40.988557,700
390356,2025-03-02,11:16:41.009551,700
390357,2025-03-02,11:16:41.030558,700
390358,2025-03-02,11:16:41.051583,700
390359,2025-03-02,11:16:41.072597,700
390360,2025-03-02,11:16:41.093599,700
390361,2025-03-02,11:16:41.114615,700
390362,2025-03-02,11:16:41.135650,700
390363,2025-03-02,11:16:41.156743,700
390364,2025-03-02,11:16:41.177779,700
390365,2025-03-02,11:16:41.198844,700
390366,2025-03-02,11:16:41.219854,700
390367,2025-03-02,11:16:41.240854,700
390368,2025-03-02,11:16:41.261848,700
390369,2025-03-02,11:16:41.282841,700
390370,2025-03-02,11:16:41.303832,700
390371,2025-03-02,11:16:41.324820,700
390372,2025-03-02,11:16:41.345809,700
390373,2025-03-02,11:16:41.366798,700
390374,2025-03-02,11:16:41.387786,700
390375,2025-03-02,11:16:41.408776,700
390376,2025-03-02,11:16:41.429765,700
390377,2025-03-02,11:16:41.450755,700
390378,2025-03-02,11:16:41.471764,700
390379,2025-03-02,11:16:41.492760,700
390380,2025-03-02,11:16:41.513752,700
390381,2025-03-02,11:16:41.534757,700
390382,2025-03-02,11:16:41.555790,700
390383,2025-03-02,11:16:41.576798,700
390384,2025-03-02,11:16:41.597793,700
390385,2025-03-02,11:16:41.618788,700
390386,2025-03-02,11:16:41.639788,700
390387,2025-03-02,11:16:41.660781,700
390388,2025-03-02,11:16:41.681772,700
390389,2025-03-02,11:16:41.702763,700
390390,2025-03-02,11:16:41.723753,700
390391,2025-03-02,11:16:41.744742,700
390392,2025-03-02,11:16:41.765737,251
390393,2025-03-02,11:16:41.786748,223
390394,2025-03-02,11:16:41.807746,250
390395,2025-03-02,11:16:41.828737,247
390396,2025-03-02,11:16:41.849726,221
390397,2025-03-02,11:16:41.870726,223
390398,2025-03-02,11:16:41.891721,223
390399,2025-03-02,11:16:41.913240,226
390400,2025-03-02,11:16:41.934233,228
390401,2025-03-02,11:16:41.955222,226
390402,2025-03-02,11:16:41.976220,222
390403,2025-03-02,11:16:41.997213,222
390404,2025-03-02,11:16:42.018210,223
390405,2025-03-02,11:16:42.039221,228
390406,2025-03-02,11:16:42.060255,246
390407,2025-03-02,11:16:42.081271,700
390408,2025-03-02,11:16:42.102283,700
390409,2025-03-02,11:16:42.123305,700
390410,2025-03-02,11:16:42.144344,700
390411,2025-03-02,11:16:42.165346,700
390412,2025-03-02,11:16:42.186341,700
390413,2025-03-02,11:16:42.207333,700
390414,2025-03-02,11:16:42.228322,700
390415,2025-03-02,11:16:42.249322,700
390416,2025-03-02,11:16:42.270315,700
390417,2025-03-02,11:16:42.291308,700
390418,2025-03-02,11:16:42.312298,700
390419,2025-03-02,11:16:42.333284,700
390420,2025-03-02,11:16:42.354275,700
390421,2025-03-02,11:16:42.375261,700
390422,2025-03-02,11:16:42.396895,700
390423,2025-03-02,11:16:42.417887,700
390424,2025-03-02,11:16:42.438876,700
390425,2025-03-02,11:16:42.459860,700
390426,2025-03-02,11:16:42.480847,700
390427,2025-03-02,11:16:42.501836,700
390428,2025-03-02,11:16:42.522824,700
390429,2025-03-02,11:16:42.543919,700
390430,2025-03-02,11:16:42.564954,700
390431,2025-03-02,11:16:42.585973,700
390432,2025-03-02,11:16:42.606971,700
390433,2025-03-02,11:16:42.627964,700
390434,2025-03-02,11:16:42.648955,700
390435,2025-03-02,11:16:42.669959,700
390436,2025-03-02,11:16:42.690982,700
390437,2025-03-02,11:16:42.711988,700
390438,2025-03-02,11:16:42.732999,700
390439,2025-03-02,11:16:42.754002,700
390440,2025-03-02,11:16:42.775460,700
390441,2025-03-02,11:16:42.796478,700
390442,2025-03-02,11:16:42.817504,700
390443,2025-03-02,11:16:42.838502,700
390444,2025-03-02,11:16:42.859496,700
390445,2025-03-02,11:16:42.880509,700
390446,2025-03-02,11:16:42.901508,700
