,date,time,distance
49628,2025-03-07,16:18:52.459008,700
49629,2025-03-07,16:18:52.480010,700
49630,2025-03-07,16:18:52.501015,700
49631,2025-03-07,16:18:52.522015,700
49632,2025-03-07,16:18:52.543014,700
49633,2025-03-07,16:18:52.564012,700
49634,2025-03-07,16:18:52.585009,700
49635,2025-03-07,16:18:52.606006,700
49636,2025-03-07,16:18:52.627005,700
49637,2025-03-07,16:18:52.648003,700
49638,2025-03-07,16:18:52.669002,700
49639,2025-03-07,16:18:52.690003,700
49640,2025-03-07,16:18:52.711003,700
49641,2025-03-07,16:18:52.731998,700
49642,2025-03-07,16:18:52.752999,700
49643,2025-03-07,16:18:52.773997,700
49644,2025-03-07,16:18:52.795005,700
49645,2025-03-07,16:18:52.816016,700
49646,2025-03-07,16:18:52.837018,700
49647,2025-03-07,16:18:52.858015,700
49648,2025-03-07,16:18:52.879014,700
49649,2025-03-07,16:18:52.900013,700
49650,2025-03-07,16:18:52.921010,700
49651,2025-03-07,16:18:52.942006,700
49652,2025-03-07,16:18:52.963003,700
49653,2025-03-07,16:18:52.984005,700
49654,2025-03-07,16:18:53.005003,700
49655,2025-03-07,16:18:53.026001,700
49656,2025-03-07,16:18:53.047006,700
49657,2025-03-07,16:18:53.068007,700
49658,2025-03-07,16:18:53.089007,700
49659,2025-03-07,16:18:53.110007,700
49660,2025-03-07,16:18:53.131004,700
49661,2025-03-07,16:18:53.152002,700
49662,2025-03-07,16:18:53.173001,700
49663,2025-03-07,16:18:53.193999,700
49664,2025-03-07,16:18:53.215006,700
49665,2025-03-07,16:18:53.236008,700
49666,2025-03-07,16:18:53.257010,700
49667,2025-03-07,16:18:53.278008,700
49668,2025-03-07,16:18:53.299008,700
49669,2025-03-07,16:18:53.320007,700
49670,2025-03-07,16:18:53.341007,700
49671,2025-03-07,16:18:53.362006,700
49672,2025-03-07,16:18:53.383005,700
49673,2025-03-07,16:18:53.404004,700
49674,2025-03-07,16:18:53.425002,700
49675,2025-03-07,16:18:53.445999,700
49676,2025-03-07,16:18:53.466995,700
49677,2025-03-07,16:18:53.488004,590
