,date,time,distance
36966,2025-03-07,16:14:26.100415,700
36967,2025-03-07,16:14:26.121458,700
36968,2025-03-07,16:14:26.142501,700
36969,2025-03-07,16:14:26.163546,700
36970,2025-03-07,16:14:26.184590,700
36971,2025-03-07,16:14:26.205634,700
36972,2025-03-07,16:14:26.226678,700
36973,2025-03-07,16:14:26.247721,700
36974,2025-03-07,16:14:26.268764,700
36975,2025-03-07,16:14:26.289810,700
36976,2025-03-07,16:14:26.310854,700
36977,2025-03-07,16:14:26.331903,700
36978,2025-03-07,16:14:26.352959,700
36979,2025-03-07,16:14:26.374010,700
36980,2025-03-07,16:14:26.395068,700
36981,2025-03-07,16:14:26.416783,700
36982,2025-03-07,16:14:26.437862,700
36983,2025-03-07,16:14:26.458900,700
36984,2025-03-07,16:14:26.479969,700
36985,2025-03-07,16:14:26.501009,700
36986,2025-03-07,16:14:26.522049,700
36987,2025-03-07,16:14:26.543089,700
36988,2025-03-07,16:14:26.564129,700
36989,2025-03-07,16:14:26.585169,700
36990,2025-03-07,16:14:26.606209,700
36991,2025-03-07,16:14:26.627248,700
36992,2025-03-07,16:14:26.648285,700
36993,2025-03-07,16:14:26.669325,700
36994,2025-03-07,16:14:26.690371,700
36995,2025-03-07,16:14:26.711413,700
36996,2025-03-07,16:14:26.732452,700
36997,2025-03-07,16:14:26.753493,227
36998,2025-03-07,16:14:26.774535,197
36999,2025-03-07,16:14:26.795580,186
37000,2025-03-07,16:14:26.816622,182
37001,2025-03-07,16:14:26.837754,176
37002,2025-03-07,16:14:26.858809,177
37003,2025-03-07,16:14:26.879862,173
37004,2025-03-07,16:14:26.900906,172
37005,2025-03-07,16:14:26.921947,172
37006,2025-03-07,16:14:26.942989,170
37007,2025-03-07,16:14:26.964038,168
37008,2025-03-07,16:14:26.985080,167
37009,2025-03-07,16:14:27.006121,166
37010,2025-03-07,16:14:27.027162,164
37011,2025-03-07,16:14:27.048202,164
37012,2025-03-07,16:14:27.069240,164
37013,2025-03-07,16:14:27.090281,163
37014,2025-03-07,16:14:27.111321,162
37015,2025-03-07,16:14:27.132440,162
37016,2025-03-07,16:14:27.153490,163
37017,2025-03-07,16:14:27.174532,163
37018,2025-03-07,16:14:27.195574,163
37019,2025-03-07,16:14:27.216621,163
37020,2025-03-07,16:14:27.237666,163
37021,2025-03-07,16:14:27.258708,165
37022,2025-03-07,16:14:27.279753,162
37023,2025-03-07,16:14:27.300793,164
37024,2025-03-07,16:14:27.321832,164
37025,2025-03-07,16:14:27.342872,163
37026,2025-03-07,16:14:27.363913,163
37027,2025-03-07,16:14:27.384954,166
37028,2025-03-07,16:14:27.405992,167
37029,2025-03-07,16:14:27.427031,167
37030,2025-03-07,16:14:27.448072,168
37031,2025-03-07,16:14:27.469112,167
37032,2025-03-07,16:14:27.490158,169
37033,2025-03-07,16:14:27.511313,169
37034,2025-03-07,16:14:27.533042,168
37035,2025-03-07,16:14:27.554115,168
37036,2025-03-07,16:14:27.575276,169
37037,2025-03-07,16:14:27.596328,168
37038,2025-03-07,16:14:27.617370,168
37039,2025-03-07,16:14:27.638421,167
37040,2025-03-07,16:14:27.659467,167
37041,2025-03-07,16:14:27.680510,167
37042,2025-03-07,16:14:27.701551,167
37043,2025-03-07,16:14:27.722593,167
37044,2025-03-07,16:14:27.743636,167
37045,2025-03-07,16:14:27.764680,170
37046,2025-03-07,16:14:27.785726,174
37047,2025-03-07,16:14:27.806774,185
37048,2025-03-07,16:14:27.827819,195
37049,2025-03-07,16:14:27.848862,275
37050,2025-03-07,16:14:27.869909,279
37051,2025-03-07,16:14:27.890950,295
37052,2025-03-07,16:14:27.912001,297
37053,2025-03-07,16:14:27.933041,294
37054,2025-03-07,16:14:27.954081,291
37055,2025-03-07,16:14:27.975217,300
37056,2025-03-07,16:14:27.996262,293
37057,2025-03-07,16:14:28.017343,700
37058,2025-03-07,16:14:28.038504,700
37059,2025-03-07,16:14:28.059560,700
37060,2025-03-07,16:14:28.080665,700
37061,2025-03-07,16:14:28.102419,700
37062,2025-03-07,16:14:28.123493,302
37063,2025-03-07,16:14:28.144531,294
37064,2025-03-07,16:14:28.165579,299
37065,2025-03-07,16:14:28.186619,310
37066,2025-03-07,16:14:28.207660,311
37067,2025-03-07,16:14:28.228698,311
37068,2025-03-07,16:14:28.249737,298
37069,2025-03-07,16:14:28.270779,300
37070,2025-03-07,16:14:28.291821,308
37071,2025-03-07,16:14:28.312866,318
37072,2025-03-07,16:14:28.333908,306
37073,2025-03-07,16:14:28.354950,298
37074,2025-03-07,16:14:28.376002,279
37075,2025-03-07,16:14:28.397042,700
37076,2025-03-07,16:14:28.418088,700
37077,2025-03-07,16:14:28.439137,700
37078,2025-03-07,16:14:28.460175,700
37079,2025-03-07,16:14:28.481221,700
37080,2025-03-07,16:14:28.502265,700
37081,2025-03-07,16:14:28.523315,260
37082,2025-03-07,16:14:28.544357,700
37083,2025-03-07,16:14:28.565418,273
37084,2025-03-07,16:14:28.586488,271
37085,2025-03-07,16:14:28.607588,262
37086,2025-03-07,16:14:28.628648,275
37087,2025-03-07,16:14:28.649700,700
37088,2025-03-07,16:14:28.670731,700
37089,2025-03-07,16:14:28.692150,700
37090,2025-03-07,16:14:28.713301,700
37091,2025-03-07,16:14:28.734362,254
37092,2025-03-07,16:14:28.755442,700
37093,2025-03-07,16:14:28.776510,700
37094,2025-03-07,16:14:28.797877,261
37095,2025-03-07,16:14:28.818924,700
37096,2025-03-07,16:14:28.839975,700
37097,2025-03-07,16:14:28.861032,700
37098,2025-03-07,16:14:28.882130,700
37099,2025-03-07,16:14:28.903193,700
37100,2025-03-07,16:14:28.924233,700
37101,2025-03-07,16:14:28.945290,700
37102,2025-03-07,16:14:28.966361,700
37103,2025-03-07,16:14:28.987426,240
37104,2025-03-07,16:14:29.008498,231
37105,2025-03-07,16:14:29.029547,225
37106,2025-03-07,16:14:29.050596,218
37107,2025-03-07,16:14:29.071637,203
37108,2025-03-07,16:14:29.092682,183
