,date,time,distance
30655,2025-03-07,16:12:13.256474,700
30656,2025-03-07,16:12:13.277509,700
30657,2025-03-07,16:12:13.298548,700
30658,2025-03-07,16:12:13.321359,700
30659,2025-03-07,16:12:13.342431,700
30660,2025-03-07,16:12:13.363544,700
30661,2025-03-07,16:12:13.384911,700
30662,2025-03-07,16:12:13.405969,700
30663,2025-03-07,16:12:13.427008,700
30664,2025-03-07,16:12:13.448046,700
30665,2025-03-07,16:12:13.469084,700
30666,2025-03-07,16:12:13.490120,700
30667,2025-03-07,16:12:13.511157,700
30668,2025-03-07,16:12:13.532198,700
30669,2025-03-07,16:12:13.553242,700
30670,2025-03-07,16:12:13.574280,700
30671,2025-03-07,16:12:13.595335,700
30672,2025-03-07,16:12:13.616401,700
30673,2025-03-07,16:12:13.637480,700
30674,2025-03-07,16:12:13.658590,700
30675,2025-03-07,16:12:13.679654,700
30676,2025-03-07,16:12:13.700733,700
30677,2025-03-07,16:12:13.721810,700
30678,2025-03-07,16:12:13.742864,700
30679,2025-03-07,16:12:13.763908,700
30680,2025-03-07,16:12:13.784985,700
30681,2025-03-07,16:12:13.806080,700
30682,2025-03-07,16:12:13.827141,700
30683,2025-03-07,16:12:13.848188,700
30684,2025-03-07,16:12:13.869250,700
30685,2025-03-07,16:12:13.890303,700
30686,2025-03-07,16:12:13.911362,700
30687,2025-03-07,16:12:13.932422,700
30688,2025-03-07,16:12:13.953473,700
30689,2025-03-07,16:12:13.974516,700
30690,2025-03-07,16:12:13.995555,700
30691,2025-03-07,16:12:14.016598,700
30692,2025-03-07,16:12:14.037639,700
30693,2025-03-07,16:12:14.058690,700
30694,2025-03-07,16:12:14.080138,700
30695,2025-03-07,16:12:14.101184,700
30696,2025-03-07,16:12:14.122226,700
30697,2025-03-07,16:12:14.143266,700
30698,2025-03-07,16:12:14.164312,700
30699,2025-03-07,16:12:14.185360,700
30700,2025-03-07,16:12:14.206408,700
30701,2025-03-07,16:12:14.227456,700
30702,2025-03-07,16:12:14.248497,700
30703,2025-03-07,16:12:14.269542,700
30704,2025-03-07,16:12:14.290582,700
30705,2025-03-07,16:12:14.311854,700
30706,2025-03-07,16:12:14.332898,700
30707,2025-03-07,16:12:14.354002,700
30708,2025-03-07,16:12:14.375039,700
30709,2025-03-07,16:12:14.396077,700
30710,2025-03-07,16:12:14.417116,700
30711,2025-03-07,16:12:14.438154,275
30712,2025-03-07,16:12:14.459199,254
30713,2025-03-07,16:12:14.480236,248
30714,2025-03-07,16:12:14.501276,233
30715,2025-03-07,16:12:14.522808,222
30716,2025-03-07,16:12:14.543866,222
30717,2025-03-07,16:12:14.564905,244
30718,2025-03-07,16:12:14.585946,230
30719,2025-03-07,16:12:14.606986,227
30720,2025-03-07,16:12:14.628036,231
30721,2025-03-07,16:12:14.649079,224
30722,2025-03-07,16:12:14.670130,225
30723,2025-03-07,16:12:14.691177,224
30724,2025-03-07,16:12:14.712226,223
30725,2025-03-07,16:12:14.733273,230
30726,2025-03-07,16:12:14.754320,227
30727,2025-03-07,16:12:14.775364,228
30728,2025-03-07,16:12:14.796412,221
30729,2025-03-07,16:12:14.817456,221
30730,2025-03-07,16:12:14.838511,229
