,date,time,distance
703702,2025-03-02,14:01:17.871958,700
703703,2025-03-02,14:01:17.892955,700
703704,2025-03-02,14:01:17.915464,700
703705,2025-03-02,14:01:17.936541,700
703706,2025-03-02,14:01:17.957599,700
703707,2025-03-02,14:01:17.978632,700
703708,2025-03-02,14:01:17.999669,700
703709,2025-03-02,14:01:18.020707,700
703710,2025-03-02,14:01:18.041713,700
703711,2025-03-02,14:01:18.062743,700
703712,2025-03-02,14:01:18.083830,700
703713,2025-03-02,14:01:18.104894,700
703714,2025-03-02,14:01:18.125962,700
703715,2025-03-02,14:01:18.147021,700
703716,2025-03-02,14:01:18.168042,700
703717,2025-03-02,14:01:18.189047,700
703718,2025-03-02,14:01:18.210047,546
703719,2025-03-02,14:01:18.231043,700
703720,2025-03-02,14:01:18.252038,700
703721,2025-03-02,14:01:18.273029,700
703722,2025-03-02,14:01:18.294015,700
703723,2025-03-02,14:01:18.315007,700
703724,2025-03-02,14:01:18.335998,700
703725,2025-03-02,14:01:18.356990,700
703726,2025-03-02,14:01:18.377982,700
703727,2025-03-02,14:01:18.399054,700
703728,2025-03-02,14:01:18.420046,700
703729,2025-03-02,14:01:18.441036,700
703730,2025-03-02,14:01:18.462026,700
703731,2025-03-02,14:01:18.483017,700
703732,2025-03-02,14:01:18.504006,700
703733,2025-03-02,14:01:18.524995,700
703734,2025-03-02,14:01:18.545986,700
703735,2025-03-02,14:01:18.566981,700
703736,2025-03-02,14:01:18.587973,303
703737,2025-03-02,14:01:18.608977,262
703738,2025-03-02,14:01:18.629998,255
703739,2025-03-02,14:01:18.651276,254
703740,2025-03-02,14:01:18.672283,235
703741,2025-03-02,14:01:18.693302,227
703742,2025-03-02,14:01:18.714316,222
703743,2025-03-02,14:01:18.735317,217
703744,2025-03-02,14:01:18.756313,251
703745,2025-03-02,14:01:18.777315,243
703746,2025-03-02,14:01:18.798305,220
703747,2025-03-02,14:01:18.819294,219
703748,2025-03-02,14:01:18.840285,221
703749,2025-03-02,14:01:18.861276,224
703750,2025-03-02,14:01:18.882265,222
703751,2025-03-02,14:01:18.903254,223
703752,2025-03-02,14:01:18.924240,224
703753,2025-03-02,14:01:18.945226,224
703754,2025-03-02,14:01:18.966232,225
703755,2025-03-02,14:01:18.987221,225
703756,2025-03-02,14:01:19.008210,225
703757,2025-03-02,14:01:19.029198,226
703758,2025-03-02,14:01:19.050200,228
703759,2025-03-02,14:01:19.071194,229
703760,2025-03-02,14:01:19.092210,230
703761,2025-03-02,14:01:19.113255,229
703762,2025-03-02,14:01:19.134279,230
703763,2025-03-02,14:01:19.155514,231
703764,2025-03-02,14:01:19.176511,231
703765,2025-03-02,14:01:19.197506,233
703766,2025-03-02,14:01:19.218500,233
703767,2025-03-02,14:01:19.239491,261
703768,2025-03-02,14:01:19.260484,257
703769,2025-03-02,14:01:19.281484,266
703770,2025-03-02,14:01:19.302482,234
703771,2025-03-02,14:01:19.323475,238
703772,2025-03-02,14:01:19.344465,238
703773,2025-03-02,14:01:19.365454,242
