,date,time,distance
41999,2025-03-07,16:16:12.007493,700
42000,2025-03-07,16:16:12.028491,700
42001,2025-03-07,16:16:12.049486,700
42002,2025-03-07,16:16:12.070479,700
42003,2025-03-07,16:16:12.091473,700
42004,2025-03-07,16:16:12.112468,700
42005,2025-03-07,16:16:12.133462,700
42006,2025-03-07,16:16:12.154456,700
42007,2025-03-07,16:16:12.175449,700
42008,2025-03-07,16:16:12.198601,700
42009,2025-03-07,16:16:12.219764,700
42010,2025-03-07,16:16:12.240813,700
42011,2025-03-07,16:16:12.261850,700
42012,2025-03-07,16:16:12.282856,700
42013,2025-03-07,16:16:12.303877,700
42014,2025-03-07,16:16:12.324881,700
42015,2025-03-07,16:16:12.345917,700
42016,2025-03-07,16:16:12.366947,700
42017,2025-03-07,16:16:12.387999,700
42018,2025-03-07,16:16:12.409040,700
42019,2025-03-07,16:16:12.430083,700
42020,2025-03-07,16:16:12.451125,700
42021,2025-03-07,16:16:12.472166,700
42022,2025-03-07,16:16:12.493208,700
42023,2025-03-07,16:16:12.514248,700
42024,2025-03-07,16:16:12.535289,700
42025,2025-03-07,16:16:12.556330,700
42026,2025-03-07,16:16:12.577397,700
42027,2025-03-07,16:16:12.598561,700
42028,2025-03-07,16:16:12.619741,700
42029,2025-03-07,16:16:12.640888,700
42030,2025-03-07,16:16:12.661979,700
42031,2025-03-07,16:16:12.683017,700
42032,2025-03-07,16:16:12.704043,700
42033,2025-03-07,16:16:12.725365,700
42034,2025-03-07,16:16:12.746405,700
42035,2025-03-07,16:16:12.767464,700
42036,2025-03-07,16:16:12.788510,700
42037,2025-03-07,16:16:12.809547,700
42038,2025-03-07,16:16:12.830589,700
42039,2025-03-07,16:16:12.851636,700
42040,2025-03-07,16:16:12.872677,700
42041,2025-03-07,16:16:12.893715,700
42042,2025-03-07,16:16:12.914752,700
42043,2025-03-07,16:16:12.935790,700
42044,2025-03-07,16:16:12.956826,700
42045,2025-03-07,16:16:12.977864,700
42046,2025-03-07,16:16:12.998905,700
42047,2025-03-07,16:16:13.019955,700
42048,2025-03-07,16:16:13.040992,700
42049,2025-03-07,16:16:13.062031,700
42050,2025-03-07,16:16:13.083072,210
42051,2025-03-07,16:16:13.104111,192
42052,2025-03-07,16:16:13.125159,174
42053,2025-03-07,16:16:13.146196,164
42054,2025-03-07,16:16:13.167234,158
42055,2025-03-07,16:16:13.188287,162
42056,2025-03-07,16:16:13.209338,199
42057,2025-03-07,16:16:13.230351,216
42058,2025-03-07,16:16:13.251355,202
42059,2025-03-07,16:16:13.272360,206
42060,2025-03-07,16:16:13.293365,161
42061,2025-03-07,16:16:13.314366,153
42062,2025-03-07,16:16:13.335375,154
42063,2025-03-07,16:16:13.356394,155
42064,2025-03-07,16:16:13.377423,163
42065,2025-03-07,16:16:13.398440,152
42066,2025-03-07,16:16:13.419461,153
42067,2025-03-07,16:16:13.440465,152
42068,2025-03-07,16:16:13.461461,152
42069,2025-03-07,16:16:13.482462,151
42070,2025-03-07,16:16:13.503458,151
42071,2025-03-07,16:16:13.524454,151
42072,2025-03-07,16:16:13.545449,150
42073,2025-03-07,16:16:13.566442,150
42074,2025-03-07,16:16:13.587437,149
42075,2025-03-07,16:16:13.608440,149
42076,2025-03-07,16:16:13.629436,148
42077,2025-03-07,16:16:13.650430,149
42078,2025-03-07,16:16:13.671424,148
42079,2025-03-07,16:16:13.692421,700
42080,2025-03-07,16:16:13.713417,148
42081,2025-03-07,16:16:13.734456,149
42082,2025-03-07,16:16:13.755565,149
42083,2025-03-07,16:16:13.776611,147
42084,2025-03-07,16:16:13.797625,146
42085,2025-03-07,16:16:13.818626,145
42086,2025-03-07,16:16:13.839626,141
42087,2025-03-07,16:16:13.860621,151
42088,2025-03-07,16:16:13.881927,187
42089,2025-03-07,16:16:13.902953,185
42090,2025-03-07,16:16:13.924005,161
42091,2025-03-07,16:16:13.945076,142
42092,2025-03-07,16:16:13.966131,143
42093,2025-03-07,16:16:13.987210,146
42094,2025-03-07,16:16:14.008232,148
42095,2025-03-07,16:16:14.029266,152
42096,2025-03-07,16:16:14.050354,161
42097,2025-03-07,16:16:14.071468,176
42098,2025-03-07,16:16:14.092504,201
42099,2025-03-07,16:16:14.113512,249
