,date,time,distance
43602,2025-03-07,16:16:45.715009,700
43603,2025-03-07,16:16:45.736006,700
43604,2025-03-07,16:16:45.757002,700
43605,2025-03-07,16:16:45.777999,700
43606,2025-03-07,16:16:45.798995,700
43607,2025-03-07,16:16:45.820001,700
43608,2025-03-07,16:16:45.840997,700
43609,2025-03-07,16:16:45.861995,700
43610,2025-03-07,16:16:45.882990,700
43611,2025-03-07,16:16:45.903993,700
43612,2025-03-07,16:16:45.924990,700
43613,2025-03-07,16:16:45.945986,700
43614,2025-03-07,16:16:45.966978,700
43615,2025-03-07,16:16:45.987986,700
43616,2025-03-07,16:16:46.008988,700
43617,2025-03-07,16:16:46.029985,700
43618,2025-03-07,16:16:46.050982,700
43619,2025-03-07,16:16:46.071986,700
43620,2025-03-07,16:16:46.092982,700
43621,2025-03-07,16:16:46.113979,700
43622,2025-03-07,16:16:46.134976,700
43623,2025-03-07,16:16:46.155982,700
43624,2025-03-07,16:16:46.176980,700
43625,2025-03-07,16:16:46.197977,700
43626,2025-03-07,16:16:46.218974,700
43627,2025-03-07,16:16:46.239978,700
43628,2025-03-07,16:16:46.260976,700
43629,2025-03-07,16:16:46.281973,700
43630,2025-03-07,16:16:46.302969,700
43631,2025-03-07,16:16:46.323976,700
43632,2025-03-07,16:16:46.344975,700
43633,2025-03-07,16:16:46.365969,700
43634,2025-03-07,16:16:46.386963,700
43635,2025-03-07,16:16:46.407966,700
43636,2025-03-07,16:16:46.428963,700
43637,2025-03-07,16:16:46.449958,228
43638,2025-03-07,16:16:46.470951,200
43639,2025-03-07,16:16:46.491952,185
43640,2025-03-07,16:16:46.512948,170
43641,2025-03-07,16:16:46.533943,161
43642,2025-03-07,16:16:46.554935,165
43643,2025-03-07,16:16:46.575933,161
43644,2025-03-07,16:16:46.596928,159
43645,2025-03-07,16:16:46.617921,156
43646,2025-03-07,16:16:46.638914,158
43647,2025-03-07,16:16:46.659906,153
43648,2025-03-07,16:16:46.680901,147
43649,2025-03-07,16:16:46.701898,151
43650,2025-03-07,16:16:46.722891,151
43651,2025-03-07,16:16:46.743885,153
43652,2025-03-07,16:16:46.764880,153
43653,2025-03-07,16:16:46.785874,150
43654,2025-03-07,16:16:46.806867,153
43655,2025-03-07,16:16:46.827869,151
43656,2025-03-07,16:16:46.848867,153
43657,2025-03-07,16:16:46.869860,150
43658,2025-03-07,16:16:46.890855,151
43659,2025-03-07,16:16:46.911858,150
43660,2025-03-07,16:16:46.932857,150
43661,2025-03-07,16:16:46.953852,151
43662,2025-03-07,16:16:46.974846,151
43663,2025-03-07,16:16:46.995835,150
43664,2025-03-07,16:16:47.016835,151
43665,2025-03-07,16:16:47.037832,152
43666,2025-03-07,16:16:47.058831,151
43667,2025-03-07,16:16:47.079829,151
43668,2025-03-07,16:16:47.100824,151
43669,2025-03-07,16:16:47.122050,152
43670,2025-03-07,16:16:47.143406,150
43671,2025-03-07,16:16:47.165097,152
43672,2025-03-07,16:16:47.186097,153
43673,2025-03-07,16:16:47.207098,150
43674,2025-03-07,16:16:47.228116,153
43675,2025-03-07,16:16:47.249124,152
43676,2025-03-07,16:16:47.270126,154
43677,2025-03-07,16:16:47.291124,150
43678,2025-03-07,16:16:47.312121,154
43679,2025-03-07,16:16:47.333118,155
43680,2025-03-07,16:16:47.354112,155
43681,2025-03-07,16:16:47.375106,160
43682,2025-03-07,16:16:47.396100,155
43683,2025-03-07,16:16:47.417094,160
43684,2025-03-07,16:16:47.438090,156
43685,2025-03-07,16:16:47.459080,156
43686,2025-03-07,16:16:47.480444,161
43687,2025-03-07,16:16:47.501442,161
43688,2025-03-07,16:16:47.522436,158
43689,2025-03-07,16:16:47.543425,159
43690,2025-03-07,16:16:47.564419,160
43691,2025-03-07,16:16:47.585411,163
43692,2025-03-07,16:16:47.606404,164
43693,2025-03-07,16:16:47.627400,166
43694,2025-03-07,16:16:47.648396,162
43695,2025-03-07,16:16:47.669394,175
43696,2025-03-07,16:16:47.690390,205
43697,2025-03-07,16:16:47.711390,274
43698,2025-03-07,16:16:47.732399,700
43699,2025-03-07,16:16:47.753397,700
43700,2025-03-07,16:16:47.774393,700
43701,2025-03-07,16:16:47.795389,700
43702,2025-03-07,16:16:47.816383,700
43703,2025-03-07,16:16:47.837379,700
43704,2025-03-07,16:16:47.858373,700
43705,2025-03-07,16:16:47.879366,700
