,date,time,distance
725401,2025-03-02,14:08:54.599042,700
725402,2025-03-02,14:08:54.620083,700
725403,2025-03-02,14:08:54.641122,700
725404,2025-03-02,14:08:54.662181,700
725405,2025-03-02,14:08:54.683253,700
725406,2025-03-02,14:08:54.704308,700
725407,2025-03-02,14:08:54.725362,700
725408,2025-03-02,14:08:54.746412,700
725409,2025-03-02,14:08:54.767474,700
725410,2025-03-02,14:08:54.788545,700
725411,2025-03-02,14:08:54.809589,700
725412,2025-03-02,14:08:54.830629,700
725413,2025-03-02,14:08:54.851676,700
725414,2025-03-02,14:08:54.872723,700
725415,2025-03-02,14:08:54.893786,700
725416,2025-03-02,14:08:54.914837,700
725417,2025-03-02,14:08:54.935878,700
725418,2025-03-02,14:08:54.956921,700
725419,2025-03-02,14:08:54.978015,700
725420,2025-03-02,14:08:54.999066,700
725421,2025-03-02,14:08:55.020106,700
725422,2025-03-02,14:08:55.041880,700
725423,2025-03-02,14:08:55.062919,700
725424,2025-03-02,14:08:55.083958,700
725425,2025-03-02,14:08:55.105001,700
725426,2025-03-02,14:08:55.126048,700
725427,2025-03-02,14:08:55.147090,700
725428,2025-03-02,14:08:55.168129,700
725429,2025-03-02,14:08:55.189176,700
725430,2025-03-02,14:08:55.210238,700
725431,2025-03-02,14:08:55.231283,700
725432,2025-03-02,14:08:55.252322,700
725433,2025-03-02,14:08:55.273361,700
725434,2025-03-02,14:08:55.294402,700
725435,2025-03-02,14:08:55.315441,700
725436,2025-03-02,14:08:55.336480,700
725437,2025-03-02,14:08:55.357518,700
725438,2025-03-02,14:08:55.378558,700
725439,2025-03-02,14:08:55.399598,700
725440,2025-03-02,14:08:55.420643,700
725441,2025-03-02,14:08:55.441681,700
725442,2025-03-02,14:08:55.462734,700
725443,2025-03-02,14:08:55.483771,700
725444,2025-03-02,14:08:55.504811,700
725445,2025-03-02,14:08:55.525846,700
725446,2025-03-02,14:08:55.546884,700
725447,2025-03-02,14:08:55.567923,700
725448,2025-03-02,14:08:55.588962,700
725449,2025-03-02,14:08:55.609997,700
725450,2025-03-02,14:08:55.631037,700
725451,2025-03-02,14:08:55.652077,700
725452,2025-03-02,14:08:55.673121,700
725453,2025-03-02,14:08:55.694162,700
