,date,time,distance
147053,2025-03-06,08:54:13.021492,694
147054,2025-03-06,08:54:13.042502,678
147055,2025-03-06,08:54:13.063499,678
147056,2025-03-06,08:54:13.084496,675
147057,2025-03-06,08:54:13.105488,700
147058,2025-03-06,08:54:13.126481,700
147059,2025-03-06,08:54:13.147472,700
147060,2025-03-06,08:54:13.168464,700
147061,2025-03-06,08:54:13.189457,700
147062,2025-03-06,08:54:13.210449,700
147063,2025-03-06,08:54:13.231439,700
147064,2025-03-06,08:54:13.252448,700
147065,2025-03-06,08:54:13.273443,700
147066,2025-03-06,08:54:13.294767,700
147067,2025-03-06,08:54:13.315839,700
147068,2025-03-06,08:54:13.336896,700
147069,2025-03-06,08:54:13.357957,700
147070,2025-03-06,08:54:13.379015,700
147071,2025-03-06,08:54:13.400079,700
147072,2025-03-06,08:54:13.421165,700
147073,2025-03-06,08:54:13.442227,700
147074,2025-03-06,08:54:13.463289,700
147075,2025-03-06,08:54:13.484353,700
147076,2025-03-06,08:54:13.505408,700
147077,2025-03-06,08:54:13.526466,700
147078,2025-03-06,08:54:13.547508,700
147079,2025-03-06,08:54:13.568552,700
147080,2025-03-06,08:54:13.589598,700
147081,2025-03-06,08:54:13.610640,700
147082,2025-03-06,08:54:13.631682,700
147083,2025-03-06,08:54:13.652719,700
147084,2025-03-06,08:54:13.673758,700
147085,2025-03-06,08:54:13.694803,700
147086,2025-03-06,08:54:13.715844,700
147087,2025-03-06,08:54:13.736989,700
147088,2025-03-06,08:54:13.758056,700
147089,2025-03-06,08:54:13.779115,700
147090,2025-03-06,08:54:13.800183,700
147091,2025-03-06,08:54:13.821254,700
147092,2025-03-06,08:54:13.842330,700
147093,2025-03-06,08:54:13.863400,700
147094,2025-03-06,08:54:13.884490,700
147095,2025-03-06,08:54:13.905545,700
147096,2025-03-06,08:54:13.926588,700
147097,2025-03-06,08:54:13.947630,700
147098,2025-03-06,08:54:13.968666,700
147099,2025-03-06,08:54:13.989709,700
147100,2025-03-06,08:54:14.010752,700
147101,2025-03-06,08:54:14.031793,700
147102,2025-03-06,08:54:14.052836,700
147103,2025-03-06,08:54:14.073876,700
147104,2025-03-06,08:54:14.094917,700
147105,2025-03-06,08:54:14.115959,672
147106,2025-03-06,08:54:14.136997,682
147107,2025-03-06,08:54:14.158034,657
147108,2025-03-06,08:54:14.179073,651
147109,2025-03-06,08:54:14.200134,648
147110,2025-03-06,08:54:14.221174,667
147111,2025-03-06,08:54:14.242209,658
147112,2025-03-06,08:54:14.263245,674
147113,2025-03-06,08:54:14.284281,216
147114,2025-03-06,08:54:14.305321,179
147115,2025-03-06,08:54:14.326373,209
147116,2025-03-06,08:54:14.347416,170
147117,2025-03-06,08:54:14.368477,171
147118,2025-03-06,08:54:14.389521,172
147119,2025-03-06,08:54:14.410567,170
147120,2025-03-06,08:54:14.431611,170
147121,2025-03-06,08:54:14.452654,170
147122,2025-03-06,08:54:14.473695,171
147123,2025-03-06,08:54:14.494736,169
147124,2025-03-06,08:54:14.515777,171
147125,2025-03-06,08:54:14.536816,169
147126,2025-03-06,08:54:14.557855,170
147127,2025-03-06,08:54:14.578894,168
147128,2025-03-06,08:54:14.599937,167
147129,2025-03-06,08:54:14.620980,170
147130,2025-03-06,08:54:14.642023,199
147131,2025-03-06,08:54:14.663059,165
147132,2025-03-06,08:54:14.684106,168
147133,2025-03-06,08:54:14.705146,164
147134,2025-03-06,08:54:14.726180,186
147135,2025-03-06,08:54:14.747554,171
147136,2025-03-06,08:54:14.768598,178
147137,2025-03-06,08:54:14.789635,183
147138,2025-03-06,08:54:14.810678,666
147139,2025-03-06,08:54:14.831723,644
147140,2025-03-06,08:54:14.852766,700
147141,2025-03-06,08:54:14.873809,684
147142,2025-03-06,08:54:14.894861,666
147143,2025-03-06,08:54:14.915904,700
147144,2025-03-06,08:54:14.936945,657
147145,2025-03-06,08:54:14.957986,658
147146,2025-03-06,08:54:14.979026,657
147147,2025-03-06,08:54:15.000070,700
147148,2025-03-06,08:54:15.021112,685
147149,2025-03-06,08:54:15.042152,700
147150,2025-03-06,08:54:15.063195,700
147151,2025-03-06,08:54:15.084236,700
147152,2025-03-06,08:54:15.105280,666
147153,2025-03-06,08:54:15.126324,700
147154,2025-03-06,08:54:15.147366,700
147155,2025-03-06,08:54:15.168424,700
147156,2025-03-06,08:54:15.189466,700
147157,2025-03-06,08:54:15.210504,686
147158,2025-03-06,08:54:15.231541,700
147159,2025-03-06,08:54:15.252577,694
147160,2025-03-06,08:54:15.273616,691
147161,2025-03-06,08:54:15.294656,687
147162,2025-03-06,08:54:15.315698,661
147163,2025-03-06,08:54:15.336745,647
147164,2025-03-06,08:54:15.357787,639
147165,2025-03-06,08:54:15.378830,642
147166,2025-03-06,08:54:15.399868,658
147167,2025-03-06,08:54:15.420909,657
147168,2025-03-06,08:54:15.441949,653
147169,2025-03-06,08:54:15.462991,700
147170,2025-03-06,08:54:15.484034,620
147171,2025-03-06,08:54:15.505073,621
147172,2025-03-06,08:54:15.526113,700
147173,2025-03-06,08:54:15.547152,700
147174,2025-03-06,08:54:15.568191,700
147175,2025-03-06,08:54:15.589227,700
147176,2025-03-06,08:54:15.610267,700
147177,2025-03-06,08:54:15.631304,700
147178,2025-03-06,08:54:15.652344,700
147179,2025-03-06,08:54:15.673392,700
147180,2025-03-06,08:54:15.694433,700
147181,2025-03-06,08:54:15.715471,624
147182,2025-03-06,08:54:15.736510,627
147183,2025-03-06,08:54:15.757548,630
147184,2025-03-06,08:54:15.778585,613
147185,2025-03-06,08:54:15.799622,615
147186,2025-03-06,08:54:15.820671,643
147187,2025-03-06,08:54:15.841713,627
147188,2025-03-06,08:54:15.862754,605
147189,2025-03-06,08:54:15.883795,595
147190,2025-03-06,08:54:15.904843,610
147191,2025-03-06,08:54:15.925881,632
147192,2025-03-06,08:54:15.946922,657
147193,2025-03-06,08:54:15.967967,700
147194,2025-03-06,08:54:15.989008,700
147195,2025-03-06,08:54:16.010048,700
