,date,time,distance
453963,2025-03-02,11:39:00.125666,700
453964,2025-03-02,11:39:00.146705,700
453965,2025-03-02,11:39:00.167741,700
453966,2025-03-02,11:39:00.188775,700
453967,2025-03-02,11:39:00.209806,700
453968,2025-03-02,11:39:00.230840,700
453969,2025-03-02,11:39:00.251870,700
453970,2025-03-02,11:39:00.272906,700
453971,2025-03-02,11:39:00.293945,700
453972,2025-03-02,11:39:00.314987,700
453973,2025-03-02,11:39:00.336019,700
453974,2025-03-02,11:39:00.357053,700
453975,2025-03-02,11:39:00.378086,700
453976,2025-03-02,11:39:00.399124,700
453977,2025-03-02,11:39:00.420161,700
453978,2025-03-02,11:39:00.441200,700
453979,2025-03-02,11:39:00.462235,700
453980,2025-03-02,11:39:00.483273,700
453981,2025-03-02,11:39:00.504312,700
453982,2025-03-02,11:39:00.525356,700
453983,2025-03-02,11:39:00.546385,700
453984,2025-03-02,11:39:00.567954,700
453985,2025-03-02,11:39:00.588993,700
453986,2025-03-02,11:39:00.610022,700
453987,2025-03-02,11:39:00.631056,700
453988,2025-03-02,11:39:00.652094,700
453989,2025-03-02,11:39:00.673133,700
453990,2025-03-02,11:39:00.694173,700
453991,2025-03-02,11:39:00.715216,700
453992,2025-03-02,11:39:00.736248,700
453993,2025-03-02,11:39:00.757284,700
453994,2025-03-02,11:39:00.778326,700
453995,2025-03-02,11:39:00.799364,700
453996,2025-03-02,11:39:00.820404,700
453997,2025-03-02,11:39:00.841456,700
453998,2025-03-02,11:39:00.862493,700
453999,2025-03-02,11:39:00.883529,700
454000,2025-03-02,11:39:00.904561,700
454001,2025-03-02,11:39:00.925598,700
454002,2025-03-02,11:39:00.946634,700
454003,2025-03-02,11:39:00.968160,700
454004,2025-03-02,11:39:00.989196,700
454005,2025-03-02,11:39:01.010225,700
454006,2025-03-02,11:39:01.031262,700
454007,2025-03-02,11:39:01.052295,700
454008,2025-03-02,11:39:01.073339,700
454009,2025-03-02,11:39:01.094376,700
454010,2025-03-02,11:39:01.115417,700
454011,2025-03-02,11:39:01.136449,700
454012,2025-03-02,11:39:01.157491,700
454013,2025-03-02,11:39:01.178526,700
454014,2025-03-02,11:39:01.199563,700
454015,2025-03-02,11:39:01.220598,700
454016,2025-03-02,11:39:01.241635,700
454017,2025-03-02,11:39:01.262673,700
454018,2025-03-02,11:39:01.283710,700
454019,2025-03-02,11:39:01.304747,700
454020,2025-03-02,11:39:01.325783,700
454021,2025-03-02,11:39:01.346821,700
454022,2025-03-02,11:39:01.367851,700
454023,2025-03-02,11:39:01.388880,700
454024,2025-03-02,11:39:01.409913,700
454025,2025-03-02,11:39:01.430951,700
454026,2025-03-02,11:39:01.451990,700
454027,2025-03-02,11:39:01.473025,700
454028,2025-03-02,11:39:01.494059,700
454029,2025-03-02,11:39:01.515099,700
454030,2025-03-02,11:39:01.536130,700
454031,2025-03-02,11:39:01.557166,700
454032,2025-03-02,11:39:01.578199,700
454033,2025-03-02,11:39:01.599235,700
454034,2025-03-02,11:39:01.620272,700
454035,2025-03-02,11:39:01.641307,700
454036,2025-03-02,11:39:01.662341,700
454037,2025-03-02,11:39:01.683377,700
454038,2025-03-02,11:39:01.704414,700
454039,2025-03-02,11:39:01.725468,700
454040,2025-03-02,11:39:01.746504,700
454041,2025-03-02,11:39:01.767549,700
454042,2025-03-02,11:39:01.788582,700
454043,2025-03-02,11:39:01.809617,700
454044,2025-03-02,11:39:01.830651,700
454045,2025-03-02,11:39:01.851687,700
454046,2025-03-02,11:39:01.872725,700
454047,2025-03-02,11:39:01.893764,700
454048,2025-03-02,11:39:01.914804,700
454049,2025-03-02,11:39:01.935845,700
454050,2025-03-02,11:39:01.956872,700
454051,2025-03-02,11:39:01.978226,700
454052,2025-03-02,11:39:01.999280,700
454053,2025-03-02,11:39:02.020313,700
454054,2025-03-02,11:39:02.041349,700
454055,2025-03-02,11:39:02.062386,700
454056,2025-03-02,11:39:02.083420,700
454057,2025-03-02,11:39:02.104457,700
454058,2025-03-02,11:39:02.125506,700
454059,2025-03-02,11:39:02.146541,700
454060,2025-03-02,11:39:02.167581,700
454061,2025-03-02,11:39:02.188621,700
454062,2025-03-02,11:39:02.209663,700
454063,2025-03-02,11:39:02.230712,700
454064,2025-03-02,11:39:02.251782,700
454065,2025-03-02,11:39:02.272822,700
454066,2025-03-02,11:39:02.293867,700
454067,2025-03-02,11:39:02.314917,700
454068,2025-03-02,11:39:02.335960,700
454069,2025-03-02,11:39:02.357003,700
454070,2025-03-02,11:39:02.378037,700
454071,2025-03-02,11:39:02.399067,700
454072,2025-03-02,11:39:02.420101,325
454073,2025-03-02,11:39:02.441134,316
454074,2025-03-02,11:39:02.462168,314
454075,2025-03-02,11:39:02.483204,311
454076,2025-03-02,11:39:02.504240,311
454077,2025-03-02,11:39:02.525274,310
454078,2025-03-02,11:39:02.546311,308
454079,2025-03-02,11:39:02.567349,309
454080,2025-03-02,11:39:02.588379,309
454081,2025-03-02,11:39:02.609420,308
454082,2025-03-02,11:39:02.630452,308
454083,2025-03-02,11:39:02.651487,307
454084,2025-03-02,11:39:02.672521,308
454085,2025-03-02,11:39:02.693557,306
454086,2025-03-02,11:39:02.714592,308
454087,2025-03-02,11:39:02.735628,307
454088,2025-03-02,11:39:02.756659,307
454089,2025-03-02,11:39:02.777692,307
454090,2025-03-02,11:39:02.798722,306
454091,2025-03-02,11:39:02.819758,308
454092,2025-03-02,11:39:02.840790,310
454093,2025-03-02,11:39:02.861825,317
454094,2025-03-02,11:39:02.882863,434
454095,2025-03-02,11:39:02.903907,700
454096,2025-03-02,11:39:02.924943,700
454097,2025-03-02,11:39:02.945973,700
454098,2025-03-02,11:39:02.967008,700
454099,2025-03-02,11:39:02.988039,700
454100,2025-03-02,11:39:03.009071,700
454101,2025-03-02,11:39:03.030101,700
454102,2025-03-02,11:39:03.051133,700
454103,2025-03-02,11:39:03.072163,700
454104,2025-03-02,11:39:03.093196,700
454105,2025-03-02,11:39:03.114233,700
