,date,time,distance
65285,2025-03-06,08:25:31.482272,700
65286,2025-03-06,08:25:31.503320,700
65287,2025-03-06,08:25:31.524363,700
65288,2025-03-06,08:25:31.545406,700
65289,2025-03-06,08:25:31.566444,700
65290,2025-03-06,08:25:31.587484,700
65291,2025-03-06,08:25:31.608522,700
65292,2025-03-06,08:25:31.629562,700
65293,2025-03-06,08:25:31.650601,700
65294,2025-03-06,08:25:31.671641,700
65295,2025-03-06,08:25:31.692683,700
65296,2025-03-06,08:25:31.713725,700
65297,2025-03-06,08:25:31.734764,700
65298,2025-03-06,08:25:31.755805,700
65299,2025-03-06,08:25:31.776845,700
65300,2025-03-06,08:25:31.797885,700
65301,2025-03-06,08:25:31.818934,700
65302,2025-03-06,08:25:31.839983,700
65303,2025-03-06,08:25:31.861021,700
65304,2025-03-06,08:25:31.882059,700
65305,2025-03-06,08:25:31.903099,700
65306,2025-03-06,08:25:31.924139,700
65307,2025-03-06,08:25:31.945182,700
65308,2025-03-06,08:25:31.966222,700
65309,2025-03-06,08:25:31.987263,700
65310,2025-03-06,08:25:32.008304,700
65311,2025-03-06,08:25:32.029346,700
65312,2025-03-06,08:25:32.050386,700
65313,2025-03-06,08:25:32.071426,700
65314,2025-03-06,08:25:32.092568,700
65315,2025-03-06,08:25:32.113611,700
65316,2025-03-06,08:25:32.134651,700
65317,2025-03-06,08:25:32.155692,700
65318,2025-03-06,08:25:32.176731,700
65319,2025-03-06,08:25:32.197770,700
65320,2025-03-06,08:25:32.218809,700
65321,2025-03-06,08:25:32.239849,700
65322,2025-03-06,08:25:32.260887,700
65323,2025-03-06,08:25:32.281927,700
65324,2025-03-06,08:25:32.302976,700
65325,2025-03-06,08:25:32.324017,700
65326,2025-03-06,08:25:32.345056,700
65327,2025-03-06,08:25:32.366095,700
65328,2025-03-06,08:25:32.387138,700
65329,2025-03-06,08:25:32.408178,700
65330,2025-03-06,08:25:32.429218,700
65331,2025-03-06,08:25:32.450258,700
65332,2025-03-06,08:25:32.471297,700
65333,2025-03-06,08:25:32.492337,700
65334,2025-03-06,08:25:32.513376,700
65335,2025-03-06,08:25:32.534414,700
65336,2025-03-06,08:25:32.555452,700
65337,2025-03-06,08:25:32.576507,700
65338,2025-03-06,08:25:32.597547,225
65339,2025-03-06,08:25:32.618588,204
65340,2025-03-06,08:25:32.639629,192
65341,2025-03-06,08:25:32.660672,186
65342,2025-03-06,08:25:32.681712,186
65343,2025-03-06,08:25:32.702780,180
65344,2025-03-06,08:25:32.723882,203
65345,2025-03-06,08:25:32.744959,217
65346,2025-03-06,08:25:32.766031,206
65347,2025-03-06,08:25:32.787095,188
65348,2025-03-06,08:25:32.808180,193
65349,2025-03-06,08:25:32.829274,227
65350,2025-03-06,08:25:32.850338,185
65351,2025-03-06,08:25:32.871395,186
65352,2025-03-06,08:25:32.892460,187
65353,2025-03-06,08:25:32.913510,187
65354,2025-03-06,08:25:32.934558,188
65355,2025-03-06,08:25:32.955602,189
65356,2025-03-06,08:25:32.976646,190
65357,2025-03-06,08:25:32.997687,191
65358,2025-03-06,08:25:33.018730,190
65359,2025-03-06,08:25:33.039774,191
65360,2025-03-06,08:25:33.061114,191
65361,2025-03-06,08:25:33.082158,192
65362,2025-03-06,08:25:33.103200,194
65363,2025-03-06,08:25:33.124244,195
65364,2025-03-06,08:25:33.145288,195
65365,2025-03-06,08:25:33.166330,196
65366,2025-03-06,08:25:33.187371,194
65367,2025-03-06,08:25:33.208425,194
65368,2025-03-06,08:25:33.229465,197
65369,2025-03-06,08:25:33.250510,196
65370,2025-03-06,08:25:33.271555,195
65371,2025-03-06,08:25:33.292604,192
65372,2025-03-06,08:25:33.313644,222
65373,2025-03-06,08:25:33.334685,226
65374,2025-03-06,08:25:33.355726,209
65375,2025-03-06,08:25:33.376768,193
65376,2025-03-06,08:25:33.397811,196
65377,2025-03-06,08:25:33.418853,197
65378,2025-03-06,08:25:33.439893,199
65379,2025-03-06,08:25:33.460933,200
65380,2025-03-06,08:25:33.481971,203
65381,2025-03-06,08:25:33.503011,207
65382,2025-03-06,08:25:33.524050,245
